Pessoa;Fala ;Marco temporal
Pesquisador;Então vamos passar por 3 pontos aqui, tá?  O primeiro deles é com relação ao anonimato. Todas as informações que vamos tratar aqui serão totalmente anonimizadas, tá? Não vai ter como te identificar de alguma forma. O segundo ponto é sobre a tua participação, ela é totalmente voluntária, então a qualquer momento, se não se sentir confortável ou não quiser mais participar do estudo, é só falar que não vai haver nenhum tipo de punição ou problema com relação a isso. E também, caso tu não se sinta confortável em responder algumas das perguntas, também fica livre para não responder, está bem? E o terceiro ponto é com é com relação ao teu consentimento e autorização, como estamos tratando de pesquisas com pessoas, precisamos da sua autorização para tratar dos dados dessa entrevista. Iremos tratar somente as transcrições da nossa conversa. Você autoriza?;00:00:05,120 --> 00:01:17,044
Entrevistado;Ok, autorizo, sim;00:01:20,764 --> 00:01:23,564
Pesquisador;Vamos lá então. Nós vamos passar por 5 blocos, tá? Temos uma média de duração de 30 minutos... A primeira que eu gostaria de tratar é com relação ao teu diagnóstico. Há quanto tempo você descobriu?;00:01:23,564 --> 00:01:44,845
Entrevistado;5 anos;00:01:46,125 --> 00:01:48,366
Pesquisador;É um diagnóstico fechado? ;00:01:49,126 --> 00:01:51,926
Entrevistado;Isso;00:01:51,926 --> 00:01:54,686
Pesquisador;Foi feito por um neuropsicólogo ou outro profissional?;00:01:57,046 -->  00:01:57,846
Entrevistado;Vamos lá. A pré avaliação foi pela psicóloga. O diagnóstico, que foi laudo, foi dado por um neurologista, depois foi feito uma avaliação uma avaliação neuropsicológica e foi finalizado por um psiquiatra. Então além de autista, eu sou TDAH e superdotado;00:02:00,286  --> 00:02:22,167
Pesquisador;Sobre o teu diagnóstico... teus parentes e amigos têm conhecimento? É algo que compartilha livremente?;00:02:39,528  --> 00:02:51,249
Entrevistado;Compartilho livremente;00:02:51,249 --> 00:02:53,729
Pesquisador;E com relação as pessoas do teu time, elas também têm conhecimento? ;00:02:57,209  --> 00:03:02,969
Entrevistado;Tem, eu estou numa vaga afirmativa;00:03:05,490 --> 00:03:06,530
Pesquisador;Certo. Então vamos entender um pouquinho melhor sobre o teu ambiente de trabalho. Tu trabalha no modelo remoto, híbrido ou presencial? ;00:03:14,970 --> 00:03:29,331
Entrevistado;100% remoto;00:03:29,331 --> 00:03:30,051
Pesquisador;Tens preferência por qual desses modelos? ;00:03:33,971 --> 00:03:36,651
Entrevistado;"Remoto... é o que passei a vida inteira.... 15 anos trabalhando no remoto, estou acostumado já. A parte boa do remoto é que eu estou sempre em casa. Eu não preciso pegar trânsito, nem dirigir, mas eu gosto de ir, quando precisa ir, eu vou no presencial sem nenhum problema porque eu gosto de ver o povo.
";00:03:39,091  --> 00:04:11,373
Pesquisador;E ao longo da tua trajetória no mercado, já identificou algum desafio ou problema que pode estar relacionado ao teu diagnóstico?;00:04:18,893--> 00:04:37,894
Entrevistado;Todas as dificuldades inerentes de ser autistas sem diagnóstico, né? Socialização... problema de ser muito literal, sincero demais. Ter dificuldade pra lidar com, por exemplo, telefone, né? Então esse tipo de coisa. O pós diagnóstico é mais mesmo organização que é que oriunda do TDAH, né? Que é a minha disfunção executiva tá além do normal pra um autista por causa do TDAH.;00:04:50,175 --> 00:05:21,736
Pesquisador;Algum colega de trabalho já comentou sobre ficar chateado por alguma ação que fizeste ou falastes? ;00:05:23,137 --> 00:05:34,057 
Entrevistado;Não, não, nunca falaram nada;00:05:36,937 --> 00:05:39,537
Pesquisador;E com relação ao ambiente de trabalho, como tu se sentes? Farias alguma mudança para facilitar a tua rotina ou dinâmica com o time?;00:05:43,858 --> 00:06:05,539
Entrevistado;Não, já tenho as minhas adaptações, né, que são poucas. Eu, geralmente eu sou o único que, por exemplo, saindo do comum, eu estou sempre com a câmera aberta, e os que não são estão como a câmera fechada. Quando preciso pegar a informação, eu peço para gravar a chamada para poder rever várias vezes, até entender. É mais isso mesmo, a minha maior dificuldade é com comando verbal, né? Então tem que prestar muita atenção e é muita informação às vezes você não tem como gravar então acabo me perdendo um pouco;00:06:08,499 -->  00:06:44,501
Pesquisador;E o teu time te apoia? ;00:06:52,901 -> 00:06:55,501
Entrevistado;Sim, meu time foi treinado pra poder receber pessoas deficientes;00:06:55,621 --> 00:07:00,982
Pesquisador; Sobre as ferramentas que vocês utilizam para fazer a comunicação e externa do time... Qual vocês utilizam?  ;00:07:10,782 --> 00:07:24,943
Entrevistado;A gente trabalha com teams e email;00:07:26,223 --> 00:07:27,183
Pesquisador;Como tu avalia tua experiência nessas duas ferramentas?;00:07:28,903  --> 00:07:33,983
Entrevistado;Super tranquilo, né? Porque desde os anos 2000 que eu trabalho com tecnologia, então..... sempre se adaptando ;00:07:35,383 -->  00:07:43,744
Pesquisador;Com relação a tecnologias utilizadas para fazer gerenciamento de atividade e tarefas. Quais vocês utilizam e como tu avalias a tua experiência?;00:07:45,104  -->  00:07:58,865
Entrevistado;No meu trabalho é... ele tem uma ferramenta própria de gerenciamento, é interna..... ela é só bem burocrática, tem que mexer em muita coisa...  As outras ferramentas são mais simples, né? Por está tudo atrelado a história e tudo mais.Então acaba sendo uma ferramenta um pouco mais complexa de se trabalhar ;00:08:04,465 -->  00:08:41,747
Pesquisador;Por último, com relação às ferramentas de colaboração, de compartilhamento de código ou arquivo... Quais utilizam? ; 00:08:50,707 --> 00:09:02,868 
Entrevistado;A gente trabalha com o OneDrive para compartilhar arquivos, tudo mais. E o GitHub é enterprise, então todos os código sobem pela pipeline do Github.;00:09:05,628 -> 00:09:15,228
Pesquisador;E nessas ferramentas, como avalias a tua experiência? Pensas em alguma funcionalidade que poderia ter para facilitar o teu dia a dia ?;00:09:19,469 --> 00:09:32,029
