Pessoa;Fala ;Marco temporal
Pesquisador;Antes da gente começar aqui, eu queria saber se já participartes de alguma entrevista acadêmica ou essa é a primeira?;"0:00:06,760 -->  00:00:12,920
"
Entrevistado;Essa é a primeira vez;00:00:12,920 --> 00:00:15,601
Pesquisador;Então, vou dar alguns esclarecimentos antes da gente começar, tá bem? Bom, o primeiro é sobre o anonimato, todas as informações que vamos tratar ou que já foram passadas lá no formulário serão totalmente anonimizadas. Nenhum dado pessoal teu vai constar no nosso estudo, tá? A segunda coisa é que a tua participação é totalmente voluntária, então a qualquer momento que tu se sentir desconfortável ou não quiser participar mais do nosso estudo, pode me comunicar que não vai ter nenhum problema. Tanto as perguntas que eu vou te fazer aqui também. Se tu tiveres algum desconforto de responder alguma delas, tu podes optar por não responder, não tem nenhum problema. E o terceiro ponto é que a gente precisa do teu consentimento, da tua autorização para, futuramente, tratar os dados dessa entrevista. Você permite essa autorização?;"00:00:16,121 -->  00:01:25,403
"
Entrevistado;Sim, eu permito ;00:01:27,043 -->  00:01:42,524
Pesquisador;Então, vamos iniciar a nossa entrevista, ela tem uma média de duração de 30 minutos, tá? E aqui eu quero começar a te perguntar sobre o teu diagnóstico, vi que fostes diagnosticada com TDAH. Quando efetivamente tu descobriu esse diagnóstico? Foi feito por qual profissional?;"00:01:52,524 --> 00:02:22,485
"
Entrevistado;Já tem mais ou menos uns 5 anos que eu fui diagnosticado com TDAH. Eu comecei a fazer terapia. Eu já tava fazendo mais ou menos um ano de terapia TCC com a profissional, com a psicóloga. O meu primeiro diagnóstico foi de depressão e aí eu comecei a fazer o tratamento de depressão, só que aí pelos restantes dos sintomas que tinha, que o tratamento de depressão não estava tratando. E aí, ela pediu para eu verificar com a mesma profissional, psiquiatra, que eu já me consultava.... Eu consulto sempre com a mesma desde que eu comecei. E ela... fez sentido pra ela... Ela me fez algumas perguntas e eu iniciei o tratamento com a *nome do medicamento ocultado* normal e eu fiquei mais ou menos um ano ou menos de 1 ano com a *nome do medicamento ocultado*. E eu ouvia falar muito bem do *nome do medicamento ocultado*. Só que eu tinha muita resistência, porque o *nome do medicamento ocultado* é muito caro. Ele é assim, quase 10 vezes mais caro do que a *nome do medicamento ocultado*. Só que chegou uma época que eu tinha que tomar 2 *nome da medicação oculto* por dia. Então já não tava.... o tratamento já não tava tendo sucesso. Então, mais ou menos 4 anos, eu faço uso do *nome do medicamento ocultado*.;"00:02:25,406 -->  00:04:01,969
"
Pesquisador;"Entendi. Os teus parentes e amigos têm conhecimento do teu diagnóstico?
";00:04:10,370 --> 00:04:20,530
Entrevistado;"Tem, tem sim,  mas a minha família não aceita bem, porque eles falam ""Ah, você nunca teve isso, isso é moda, isso é alguma coisa inventada"". Só que minha mãe,meus irmãos tem vários sintomas, só que eles não foram atrás, né? ..... E aí é, os meus amigos aceitam muito bem";00:04:23,490 --> 00:04:49,011
Pesquisador;E agora voltado para o teu ambiente de trabalho, os teus colegas de trabalho têm conhecimento também do teu diagnóstico?;00:04:50,531 --> 00:04:59,772 
Entrevistado;Eu trabalhei na última empresa que eu tava durante 5 anos, eu entrei lá como suporte técnico, saí de lá como QA. E eu só me senti confortável para falar na empresa quando eu já estava prestes a sair, no meu último ano mais ou menos. É... eles aceitaram bem, né? Com essa eu descobri que tinha vários profissionais lá também tinham TDHA, porém, nessa empresa nova que eu entrei, é uma empresa mais tradicional, uma empresa gerida por pessoas mais velhas e  eu não me senti confortável ainda pra falar, não; 00:05:02,612 -->  00:05:37,653
Pesquisador;Por qual motivo?;00:05:39,973 --> 00:05:42,093
Entrevistado;"A cultura da empresa, né? Eles têm uma cultura mais arcaica, então eles têm uma cultura de culpar muitas pessoas. ""Ah, foi erro de fulano, foi erro de sicrano, foi erro de beltrano"". E é mais um moivo pra tentarem me culpar pelas coisas do meu diagnóstico. Então, eu não me sinto confortável em me abrir, não.";00:05:43,853 --> 00:06:12,374
Pesquisador;Agora eu queria saber se na empresa que tu estás, vocês trabalham no modelo híbrido, remoto ou presencial?;00:07:59,598 --> 00:08:09,819
Entrevistado;Eu trabalho no híbrido. Eu vou 2 vezes por semana.;00:08:10,659 -->   00:08:16,259
Pesquisador;E qual desses modelos tu preferes?;00:08:19,379 --> 00:08:21,219
Entrevistado;Eu prefiro 100% home Office que é o que eu trabalhava antes.;00:08:22,539 --> 00:08:26,219
Pesquisador;Por que?;00:08:30,340 --> 00:08:31,580
Entrevistado;É porque a gente faz o o nosso próprio horário, né. Depende da empresa. A empresa que eu trabalhava dava muita liberdade pra você fazer o próprio horário. Sendo que você tinha as metas de  suas entregas, né? É, não fazia muita questão de você estar lá presente. Você tinha que entregar a meta no dia que que tivesse que entregar. Então eu tinha mais liberdade por exemplo, para fazer um exercício físico no horário do almoço. Eu tinha mais liberdade para cozinhar a minha própria comida aqui, para acordar um pouco  mais tarde, parar de trabalhar um pouco mais tarde. E nessa empresa nova eu não tenho. Então, por exemplo, eu tenho que me deslocar 4 horas de transporte público para ir e voltar da empresa e é muito cansativo.;00:08:34,380 -->   00:09:28,502
Pesquisador;E que tipos de desafios tu já enfrentou, ao longo da tua trajetoria, que possas ter enfrentado no ambiente de trabalho?;"00:09:42,422 --> 00:10:08,103
"
Entrevistado;"É o principal desafio que que eu passei foi em relação a relacionamento com as pessoas. A impulsividade... de controlar a impulsividade de falar o que que eu acho que tem que ser daquele jeito, sem escutar as pessoas. Porque muitas vezes..... Eu tinha esse problema que eu achava que eu conhecia super bem do produto e eu achava que a outra pessoa tentando mudar aquele produto, não ia ser bacana. Então eu tinha assim ímpeto de ó, não vai ser desse jeito porque não vai ser bom porque não vai.... Mas aí eu aprendi a controlar isso com muita terapia e falar ""podemos, né? Vamos ver no que vai dar... talvez pode ser bom, se não for a gente refaz";00:10:09,703 -->  00:11:00,585 
Pesquisador;Voltado para o teu diagnóstico seria seria mais controlar a tua impulsividade?;"00:11:03,425 --> 00:11:07,706
"
Entrevistado;A impulsividade e a procrastinação foram coisas que me atrapalharam muito antes de começar a tratar o TDAH;00:11:10,426 --> 00:11:18,146
Pesquisador;E quais estratégias que tu utilizas agora para conseguir melhorar, por exemplo, na questão da procrastinação?;00:11:20,546 -->  00:11:27,106
