Pessoa;Fala ;Marco temporal
Pesquisador;Bom, antes da gente começar, eu queria saber se tu já participou de algum tipo de entrevista de cunho académico antes? ;
Entrevistado;Já, já sim ;
Pesquisador;Perfeito, eu vou só passar por alguns detalhes antes da gente começar. A primeira coisa que eu quero te falar é sobre anonimato. Todas as formações que vamos tratar na tua entrevista e no formulário que a gente disponibilizou vão ser anonimizadas.  A tua participação é totalmente voluntária, então qualquer momento que se sentir desconfortável ou não quiser mais participar do estudo, pode só sinalizar para mim e não vai ter nenhum problema com relação a isso. E o terceiro ponto é que eu preciso do teu consentimento pra fazer a coleta de dados necessários da tua entrevista, então você concede essa autorização? ;
Entrevistado;É só falado ou eu preciso escrever?;
Pesquisador;Pode só falar ;
Entrevistado;Ah sim, eu autorizo sim ;
Pesquisador;Então vamos lá, a nossa entrevista tem em média, uma duração de 30 minutos, pode ser que termine um pouquinho antes ou depois... Mas eu queria efetivamente começar agora falando sobre o teu diagnóstico, vi que fostes diagnosticada com TOC;
Entrevistado;"Na verdade, é o TPOC, que é o transtorno da personalidade obsessiva compulsivo. Dos sintomas.... aí um dos sintomas clínicos são os pensamentos intrusivos... Eu não entro em casa de sandália da rua, então eu tenho uma sandália para andar dentro de casa e uma sandália, né, pra sair. Se tiver fazendo comida e eu tiver que quebrar um ovo, eu quebro o ovo, sujo da minha mão, aí eu tenho que lavar de novo para quebrar outro ovo para poder pegar e tal. Dentre outro pensamentos intrusivos como, eu vou te dar um exemplo aqui, mas eu tenho um armário aéreo no meu quarto, em cima da minha cama. E aí às vezes eu escuto uns barulhos, então na minha cabeça vem o pensamento intrusivo ¨ah, eu vou estar dormindo e esse trem vai cair em cima da minha cabeça"". E o que que isso me prejudicava? De muitas vezes eu me me levantar e ir dormir no outro quarto com medo, sendo que tipo, nada vai acontecer, sabe? Aqui em casa ou sobre o rolê de não entrar em casa com sandália da rua, me prejudicava tipo ia receber visitas e tal. Eu sou aquela pessoa chata que fica ""olha, não entra de sapato, tira o sapato sim."" E aí para fazer comida, até os temperinhos assim, tipo, eu pego uma picada de uma coisa, eu não consigo com a mesma, tenho que lavar, então isso também demora, sabe? E aí a sujei uma colher, eu tenho que lavar a colher pra não deixar a pia cheia de louça quando eu estou cozinhando e isso me prejudica também o fato de eu não conseguir ter diarista aqui em casa, porque na minha cabeça, se ela passou um pano ali para, sei lá, secar o vaso que ela lavou, aí ela vai usar (o pano) na pia. Não faz sentido para mim. Isso não existe, entende? É um paninho só do vaso, e é isso.";
Pesquisador;E ainda sobre o teu diagnóstico, há quanto tempo tu descobriu? ;
Entrevistado;Eu já faço terapia desde 2018, mas o diagnóstico em si veio ano passado... Não, veio final de 2022 porque eu descobri que eu estava grávida e aí eu comecei a entrar em pânico. No sentido de como é que vai ser? Eu vou precisar ter babá, babá vai vim da rua, ai....  Detalhe, ainda tinha o fato que, mesmo antes da pandemia, eu era a pessoa que tipo, com a roupa da rua eu não sentava no sofá, né? Na minha cama, nem nada. Então eu ficava pensando assim, e aí, como é que eu vou chegar e falar para babá? Tipo, olha, tu tem que trocar de roupa, tem que tomar um banho, tem que... Sabe? E aí eu comecei a surtar, e aí a minha psicóloga começou a trabalhar isso em mim e aí ajudou a entender com o diagnóstico e tal, as tratativas do tratamento em cima disso, sabe?;
Pesquisador;Entendi, então agora eu queria saber se teus amigos e parentes têm conhecimento do teu diagnóstico? É tranquilo conversar com eles sobre isso?;
Entrevistado;Os meus amigos, eles não sabem do diagnóstico. Eles sabem que eu tenho isso, essas coisas. Então eu sou a chata do rolê. Ah, já aconteceu uma vez, a gente foi viajar para uma cidade, uma galera, alugamos uma casa e tal. Só em resumo, só para tu ter uma ideia de como foi caótico depois dessa viagem. Aí começou a rolar um meme que era uma mulher na praia vinha a onda e ela passava o rodo, sabe? Todos, todos que estavam na casa me mandaram esse meme na época. É nesse nível, entende? E aí os meus pais, eles.... Eu cresci ouvindo do meu pai que eu sou muita antipática, muito chata e é isso ;
Pesquisador;Eles sabem do teu jeito de ser, mas efetivamente não comunicastes a eles, então?;
Entrevistado;É, isso mesmo ;
